# Size ExpectedDensity IndexOfInstance timeLCL DensityLCL timeGreedy DensityGreedy
100 0.04 44 0 412 3 425
100 0.04 45 0 405 4 406
100 0.04 46 0 428 3 347
100 0.04 47 1 349 3 322
100 0.04 48 0 391 3 400
100 0.04 49 0 408 3 435
100 0.04 50 0 411 3 398
100 0.05 0 0 478 3 449
100 0.05 1 1 489 2 487
100 0.05 2 0 503 3 530
100 0.05 3 0 451 3 459
100 0.05 4 1 485 3 557
100 0.05 5 1 436 2 384
100 0.05 6 0 474 3 424
100 0.05 7 0 493 3 443
100 0.05 8 0 394 3 381
100 0.05 9 0 452 3 431
100 0.05 10 0 417 3 432
100 0.05 11 0 508 3 481
100 0.05 12 0 537 4 529
100 0.05 13 0 450 3 428
100 0.05 14 0 494 3 492
100 0.05 15 0 441 3 424
100 0.05 16 0 464 3 438
100 0.05 17 1 443 3 466
100 0.05 18 0 474 4 454
100 0.05 19 0 480 3 511
100 0.05 20 0 457 3 440
100 0.05 21 0 437 3 423
100 0.05 22 0 487 3 488
100 0.05 23 1 398 2 411
100 0.05 24 1 459 2 440
100 0.05 25 0 476 3 483
100 0.05 26 0 424 3 416
100 0.05 27 1 459 3 422
100 0.05 28 0 463 4 406
100 0.05 29 0 482 3 448
100 0.05 30 0 499 3 480
100 0.05 31 0 480 3 445
100 0.05 32 1 437 3 448
100 0.05 33 1 449 3 449
100 0.05 34 0 463 3 458
100 0.05 35 0 431 3 429
100 0.05 36 0 416 3 416
100 0.05 37 1 447 3 419
100 0.05 38 0 458 3 432
100 0.05 39 0 450 3 405
100 0.05 40 1 449 3 456
100 0.05 41 0 477 3 463
100 0.05 42 0 453 3 431
100 0.05 43 0 465 3 421
100 0.05 44 0 491 3 490
100 0.05 45 0 462 3 454
100 0.05 46 0 452 3 484
100 0.05 47 0 437 4 435
100 0.05 48 0 464 3 435
100 0.05 49 0 434 5 443
100 0.05 50 0 481 3 467
100 0.1 0 0 825 2 815
100 0.1 1 0 758 2 766
100 0.1 2 1 727 2 758
100 0.1 3 0 734 2 727
100 0.1 4 0 702 1 712
100 0.1 5 0 748 1 716
100 0.1 6 0 725 1 702
100 0.1 7 0 782 2 773
100 0.1 8 0 679 2 701
100 0.1 9 0 718 2 722
100 0.1 10 1 703 1 701
100 0.1 11 1 784 1 782
100 0.1 12 1 821 2 814
100 0.1 13 0 759 1 770
100 0.1 14 0 710 2 736
100 0.1 15 0 753 2 742
100 0.1 16 0 832 2 829
100 0.1 17 1 775 2 766
100 0.1 18 0 758 2 771
100 0.1 19 1 657 2 732
100 0.1 20 0 851 2 874
100 0.1 21 1 796 1 793
100 0.1 22 1 763 1 786
100 0.1 23 0 790 2 805
100 0.1 24 0 767 2 784
100 0.1 25 1 747 1 799
100 0.1 26 1 838 1 827
100 0.1 27 0 728 2 757
100 0.1 28 0 765 2 716
100 0.1 29 0 717 2 697
100 0.1 30 0 742 2 736
100 0.1 31 0 775 2 786
100 0.1 32 1 708 2 731
100 0.1 33 0 727 2 731
100 0.1 34 0 717 2 711
100 0.1 35 0 750 2 780
100 0.1 36 0 691 2 710
100 0.1 37 0 778 2 779
100 0.1 38 1 717 1 733
100 0.1 39 1 715 2 752
100 0.1 40 0 758 2 733
100 0.1 41 0 662 1 681
100 0.1 42 0 695 2 731
100 0.1 43 0 764 2 768
100 0.1 44 0 668 1 689
100 0.1 45 0 730 2 752
100 0.1 46 0 682 2 714
100 0.1 47 0 687 2 682
100 0.1 48 0 740 2 723
100 0.1 49 0 808 2 775
100 0.1 50 0 770 2 763
100 0.2 0 1 1641 0 1641
100 0.2 1 1 1692 0 1692
100 0.2 2 1 1615 0 1615
100 0.2 3 1 1603 0 1603
100 0.2 4 0 1676 1 1676
100 0.2 5 0 1704 1 1704
100 0.2 6 0 1609 1 1609
100 0.2 7 0 1717 1 1717
100 0.2 8 0 1615 1 1615
100 0.2 9 0 1626 1 1626
100 0.2 10 0 1717 0 1717
100 0.2 11 0 1727 0 1727
100 0.2 12 0 1479 0 1479
100 0.2 13 0 1704 0 1704
100 0.2 14 1 1527 0 1527
100 0.2 15 1 1703 0 1703
100 0.2 16 1 1634 0 1634
100 0.2 17 1 1686 0 1686
100 0.2 18 1 1545 0 1545
100 0.2 19 1 1699 0 1699
100 0.2 20 1 1695 0 1695
100 0.2 21 1 1660 0 1660
100 0.2 22 1 1673 0 1673
100 0.2 23 1 1599 0 1599
100 0.2 24 0 1677 1 1677
100 0.2 25 0 1673 1 1673
100 0.2 26 0 1593 0 1593
100 0.2 27 0 1590 0 1590
100 0.2 28 0 1708 0 1708
100 0.2 29 0 1728 0 1728
100 0.2 30 0 1533 0 1533
100 0.2 31 0 1651 0 1651
